negocio,etapa1_cotacao,etapa2_autorizacao,etapa3_cirurgia,etapa4_faturamento,status,ganho,ano,mes,vendedor,cliente,tipo_pagador,estado,produto,linha_produto,valor,receita_ganha,valor_perdido,motivo_perda,etapa_perda,dias_consignacao,dias_pagamento,ciclo_total_dias,dias_cotacao_autorizacao,dias_cirurgia_faturamento,valor_glosado,valor_recuperado,glosa_nao_recuperada
FH-2021-00059,2021-01-02,2021-01-26,2021-02-06,2021-05-03,Ganho,1,2021,2021-02,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Marcapasso,Cardiologia,115092,115092,0,,,62,149,211,24,86,10365,5953,4412
FH-2021-00015,2021-01-04,2021-01-09,2021-01-11,2021-04-01,Ganho,1,2021,2021-01,Marcelo Bastos,Hospital Estadual de Pernambuco,Hospital público,PE,Cateter para angioplastia,Cardiologia,159307,159307,0,,,55,129,184,5,80,17736,9237,8499
FH-2021-00017,2021-01-06,2021-01-29,,,Perdido,0,2021,2021-01,Ricardo Aragão,Vitalis Rede Integrada,Operadora verticalizada,PE,Placas e parafusos,Ortopedia,711811,0,711811,Autorização expirou,E2 Autorizacao,0,0,0,23,0,0,0,0
FH-2021-00147,2021-01-06,2021-01-11,2021-01-16,2021-03-22,Ganho,1,2021,2021-01,Fábio Correia,Vitalis Rede Integrada,Operadora verticalizada,PE,Material para artroscopia,Ortopedia,111039,111039,0,,,42,162,204,5,65,11111,3913,7198
FH-2021-00149,2021-01-06,,,,Perdido,0,2021,2021-01,Ricardo Aragão,Hospital Metropolitano Norte,Hospital público,PB,Haste intramedular,Ortopedia,178557,0,178557,Cliente com fornecedor exclusivo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00124,2021-01-08,,,,Perdido,0,2021,2021-01,Tatiana Coelho,Hospital Aurora,Hospital privado,AL,Implante de quadril,Ortopedia,21442,0,21442,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00317,2021-01-09,2021-01-23,2021-02-01,2021-04-15,Ganho,1,2021,2021-02,Tatiana Coelho,Clínica Ortopédica Boa Viagem,Hospital privado,PE,Implante de quadril,Ortopedia,62456,62456,0,,,17,111,128,14,73,2757,793,1964
FH-2021-00075,2021-01-12,2021-01-26,2021-01-31,2021-03-26,Ganho,1,2021,2021-01,Ricardo Aragão,Bem-Estar Saúde,Operadora verticalizada,PE,Implante de quadril,Ortopedia,411312,411312,0,,,46,177,223,14,54,64553,18421,46132
FH-2021-00321,2021-01-12,,,,Perdido,0,2021,2021-01,Luciana Prado,Hospital Jaguaribe,Hospital privado,AL,Implante de quadril,Ortopedia,49205,0,49205,Sem contrato para atender,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00372,2021-01-12,2021-01-19,2021-01-29,2021-04-19,Ganho,1,2021,2021-01,Ricardo Aragão,Centro Cirúrgico Casa Forte,Hospital privado,PE,Malha e tela cirúrgica,Cirurgia geral,116225,116225,0,,,78,158,236,7,80,12006,3723,8283
FH-2021-00050,2021-01-13,,,,Perdido,0,2021,2021-01,Rogério Lins,Hospital Sete Coqueiros,Hospital privado,PE,Implante de quadril,Ortopedia,30326,0,30326,Cotação respondida fora do prazo,E1 Cotacao,0,0,0,0,0,0,0,0
FH-2021-00096,2021-01-13,2021-02-06,2021-02-24,2021-05-04,Ganho,1,2021,2021-02,Rogério Lins,Hospital Aurora,Hospital privado,AL,Implante de quadril,Ortopedia,43643,43643,0,,,31,106,137,24,69,3313,1097,2216
FH-2021-00214,2021-01-13,2021-01-28,2021-02-07,2021-05-14,Ganho,1,2021,2021-02,Marcelo Bastos,Hospital Costa Verde,Hospital privado,RN,Haste intramedular,Ortopedia,18367,18367,0,,,54,130,184,15,96,965,617,348
FH-2021-00254,2021-01-13,2021-01-16,2021-01-30,2021-04-20,Ganho,1,2021,2021-01,Luciana Prado,Hospital São Rafael de Olinda,Hospital privado,PE,Stent farmacológico,Cardiologia,61069,61069,0,,,43,106,149,3,80,2828,1682,1146
